phrase	category	indexed_at	url	section	section_url
_gnu_generic	functions	Functions-Index.html	Completion-System.html#index-_005fgnu_005fgeneric	20.6 Utility Functions	Completion-System.html#Completion-Functions
_guard	functions	Functions-Index.html	Completion-System.html#index-_005fguard	20.6 Utility Functions	Completion-System.html#Completion-Functions
_history	functions	Functions-Index.html	Completion-System.html#index-_005fhistory	20.4 Control Functions	Completion-System.html#Control-Functions
_history_complete_word (\e/)	functions	Functions-Index.html	Completion-System.html#index-_005fhistory_005fcomplete_005fword-_0028_005ce_002f_0029	20.5 Bindable Commands	Completion-System.html#Bindable-Commands
_ignored	functions	Functions-Index.html	Completion-System.html#index-_005fignored	20.4 Control Functions	Completion-System.html#Control-Functions
_list	functions	Functions-Index.html	Completion-System.html#index-_005flist	20.4 Control Functions	Completion-System.html#Control-Functions
_match	functions	Functions-Index.html	Completion-System.html#index-_005fmatch	20.4 Control Functions	Completion-System.html#Control-Functions
_menu	functions	Functions-Index.html	Completion-System.html#index-_005fmenu	20.4 Control Functions	Completion-System.html#Control-Functions
_message	functions	Functions-Index.html	Completion-System.html#index-_005fmessage	20.6 Utility Functions	Completion-System.html#Completion-Functions
_most_recent_file (^Xm)	functions	Functions-Index.html	Completion-System.html#index-_005fmost_005frecent_005ffile-_0028_005eXm_0029	20.5 Bindable Commands	Completion-System.html#Bindable-Commands
_multi_parts	functions	Functions-Index.html	Completion-System.html#index-_005fmulti_005fparts	20.6 Utility Functions	Completion-System.html#Completion-Functions
_next_label	functions	Functions-Index.html	Completion-System.html#index-_005fnext_005flabel	20.6 Utility Functions	Completion-System.html#Completion-Functions
_next_tags (^Xn)	functions	Functions-Index.html	Completion-System.html#index-_005fnext_005ftags-_0028_005eXn_0029	20.5 Bindable Commands	Completion-System.html#Bindable-Commands
_normal	functions	Functions-Index.html	Completion-System.html#index-_005fnormal	20.6 Utility Functions	Completion-System.html#Completion-Functions
_oldlist	functions	Functions-Index.html	Completion-System.html#index-_005foldlist	20.4 Control Functions	Completion-System.html#Control-Functions
_options	functions	Functions-Index.html	Completion-System.html#index-_005foptions	20.6 Utility Functions	Completion-System.html#Completion-Functions
_options_set	functions	Functions-Index.html	Completion-System.html#index-_005foptions_005fset	20.6 Utility Functions	Completion-System.html#Completion-Functions
_options_unset	functions	Functions-Index.html	Completion-System.html#index-_005foptions_005funset	20.6 Utility Functions	Completion-System.html#Completion-Functions
_parameters	functions	Functions-Index.html	Completion-System.html#index-_005fparameters	20.6 Utility Functions	Completion-System.html#Completion-Functions
_path_files	functions	Functions-Index.html	Completion-System.html#index-_005fpath_005ffiles	20.6 Utility Functions	Completion-System.html#Completion-Functions
_pick_variant	functions	Functions-Index.html	Completion-System.html#index-_005fpick_005fvariant	20.6 Utility Functions	Completion-System.html#Completion-Functions
_precommand	functions	Functions-Index.html	Completion-System.html#index-_005fprecommand	20.4 Control Functions	Completion-System.html#Control-Functions
_prefix	functions	Functions-Index.html	Completion-System.html#index-_005fprefix	20.4 Control Functions	Completion-System.html#Control-Functions
_read_comp (^X^R)	functions	Functions-Index.html	Completion-System.html#index-_005fread_005fcomp-_0028_005eX_005eR_0029	20.5 Bindable Commands	Completion-System.html#Bindable-Commands
_regex_arguments	functions	Functions-Index.html	Completion-System.html#index-_005fregex_005farguments	20.6 Utility Functions	Completion-System.html#Completion-Functions
_regex_words [ -t term ]	functions	Functions-Index.html	Completion-System.html#index-_005fregex_005fwords-_005b-_002dt-term-_005d	20.6 Utility Functions	Completion-System.html#Completion-Functions
_requested	functions	Functions-Index.html	Completion-System.html#index-_005frequested	20.6 Utility Functions	Completion-System.html#Completion-Functions
_retrieve_cache	functions	Functions-Index.html	Completion-System.html#index-_005fretrieve_005fcache	20.6 Utility Functions	Completion-System.html#Completion-Functions
_sep_parts	functions	Functions-Index.html	Completion-System.html#index-_005fsep_005fparts	20.6 Utility Functions	Completion-System.html#Completion-Functions
_sequence	functions	Functions-Index.html	Completion-System.html#index-_005fsequence	20.6 Utility Functions	Completion-System.html#Completion-Functions
_setup	functions	Functions-Index.html	Completion-System.html#index-_005fsetup	20.6 Utility Functions	Completion-System.html#Completion-Functions
_store_cache	functions	Functions-Index.html	Completion-System.html#index-_005fstore_005fcache	20.6 Utility Functions	Completion-System.html#Completion-Functions
_tags	functions	Functions-Index.html	Completion-System.html#index-_005ftags	20.6 Utility Functions	Completion-System.html#Completion-Functions
_tilde_files	functions	Functions-Index.html	Completion-System.html#index-_005ftilde_005ffiles	20.6 Utility Functions	Completion-System.html#Completion-Functions
_user_expand	functions	Functions-Index.html	Completion-System.html#index-_005fuser_005fexpand	20.4 Control Functions	Completion-System.html#Control-Functions
_values	functions	Functions-Index.html	Completion-System.html#index-_005fvalues	20.6 Utility Functions	Completion-System.html#Completion-Functions
_wanted	functions	Functions-Index.html	Completion-System.html#index-_005fwanted	20.6 Utility Functions	Completion-System.html#Completion-Functions
_widgets	functions	Functions-Index.html	Completion-System.html#index-_005fwidgets	20.6 Utility Functions	Completion-System.html#Completion-Functions
accept-and-hold	editor-functions	Editor-Functions-Index.html	Zsh-Line-Editor.html#index-accept_002dand_002dhold	18.6.6 Miscellaneous	Zsh-Line-Editor.html#Miscellaneous
accept-and-infer-next-history	editor-functions	Editor-Functions-Index.html	Zsh-Line-Editor.html#index-accept_002dand_002dinfer_002dnext_002dhistory	18.6.6 Miscellaneous	Zsh-Line-Editor.html#Miscellaneous
accept-and-menu-complete	editor-functions	Editor-Functions-Index.html	Zsh-Line-Editor.html#index-accept_002dand_002dmenu_002dcomplete	18.6.5 Completion	Zsh-Line-Editor.html#Completion
